date,home_team,away_team,winning_team
2018-02-04,New York Knicks,Atlanta Hawks,1
2018-02-04,Toronto Raptors,Memphis Grizzlies,0
2018-02-04,Oklahoma City Thunder,Los Angeles Lakers,1
2018-02-04,Phoenix Suns,Charlotte Hornets,1
2018-02-05,Detroit Pistons,Portland Trail Blazers,0
2018-02-05,Indiana Pacers,Washington Wizards,1
2018-02-05,Miami Heat,Orlando Magic,1
2018-02-05,New Orleans Pelicans,Utah Jazz,1
2018-02-05,Denver Nuggets,Charlotte Hornets,0
2018-02-05,Sacramento Kings,Chicago Bulls,0
2018-02-05,Los Angeles Clippers,Dallas Mavericks,0
2018-02-06,Orlando Magic,Cleveland Cavaliers,0
2018-02-06,Atlanta Hawks,Memphis Grizzlies,0
2018-02-06,Brooklyn Nets,Houston Rockets,1
2018-02-06,New York Knicks,Milwaukee Bucks,1
2018-02-06,Toronto Raptors,Boston Celtics,0
2018-02-06,Philadelphia 76ers,Washington Wizards,0
2018-02-06,Golden State Warriors,Oklahoma City Thunder,1
2018-02-06,Los Angeles Lakers,Phoenix Suns,0
2018-02-07,Detroit Pistons,Brooklyn Nets,0
2018-02-07,Miami Heat,Houston Rockets,1
2018-02-07,Cleveland Cavaliers,Minnesota Timberwolves,0
2018-02-07,Memphis Grizzlies,Utah Jazz,1
2018-02-07,Phoenix Suns,San Antonio Spurs,1
2018-02-08,Orlando Magic,Atlanta Hawks,0
2018-02-08,Toronto Raptors,New York Knicks,0
2018-02-08,Washington Wizards,Boston Celtics,1
2018-02-08,Portland Trail Blazers,Charlotte Hornets,0
2018-02-08,Golden State Warriors,Dallas Mavericks,0
2018-02-08,Los Angeles Lakers,Oklahoma City Thunder,0
2018-02-09,Detroit Pistons,Los Angeles Clippers,1
2018-02-09,Philadelphia 76ers,New Orleans Pelicans,0
2018-02-09,Atlanta Hawks,Cleveland Cavaliers,1
2018-02-09,Boston Celtics,Indiana Pacers,1
2018-02-09,Houston Rockets,Denver Nuggets,0
2018-02-09,Miami Heat,Milwaukee Bucks,0
2018-02-09,Utah Jazz,Charlotte Hornets,0
2018-02-09,Chicago Bulls,Minnesota Timberwolves,0
2018-02-09,Sacramento Kings,Portland Trail Blazers,1
2018-02-10,Brooklyn Nets,New Orleans Pelicans,1
2018-02-10,Orlando Magic,Milwaukee Bucks,1
2018-02-10,Philadelphia 76ers,Los Angeles Clippers,0
2018-02-10,Chicago Bulls,Washington Wizards,1
2018-02-10,Dallas Mavericks,Los Angeles Lakers,0
2018-02-10,Golden State Warriors,San Antonio Spurs,0
2018-02-10,Phoenix Suns,Denver Nuggets,1
2018-02-11,Charlotte Hornets,Toronto Raptors,1
2018-02-11,Atlanta Hawks,Detroit Pistons,0
2018-02-11,Boston Celtics,Cleveland Cavaliers,1
2018-02-11,Indiana Pacers,New York Knicks,0
2018-02-11,Houston Rockets,Dallas Mavericks,0
2018-02-11,Minnesota Timberwolves,Sacramento Kings,0
2018-02-11,Oklahoma City Thunder,Memphis Grizzlies,0
2018-02-11,Portland Trail Blazers,Utah Jazz,1
2018-02-12,Detroit Pistons,New Orleans Pelicans,1
2018-02-12,Philadelphia 76ers,New York Knicks,0
2018-02-12,Brooklyn Nets,Los Angeles Clippers,1
2018-02-12,Chicago Bulls,Orlando Magic,0
2018-02-12,Utah Jazz,San Antonio Spurs,0
2018-02-12,Golden State Warriors,Phoenix Suns,0
2018-02-13,Toronto Raptors,Miami Heat,0
2018-02-13,Milwaukee Bucks,Atlanta Hawks,0
2018-02-13,Minnesota Timberwolves,Houston Rockets,1
2018-02-13,Oklahoma City Thunder,Cleveland Cavaliers,1
2018-02-13,Dallas Mavericks,Sacramento Kings,1
2018-02-13,Denver Nuggets,San Antonio Spurs,0
2018-02-14,Detroit Pistons,Atlanta Hawks,0
2018-02-14,Orlando Magic,Charlotte Hornets,1
2018-02-14,Philadelphia 76ers,Miami Heat,0
2018-02-14,Brooklyn Nets,Indiana Pacers,1
2018-02-14,New York Knicks,Washington Wizards,1
2018-02-14,Boston Celtics,Los Angeles Clippers,1
2018-02-14,Chicago Bulls,Toronto Raptors,1
2018-02-14,Houston Rockets,Sacramento Kings,0
2018-02-14,Memphis Grizzlies,Oklahoma City Thunder,1
2018-02-14,New Orleans Pelicans,Los Angeles Lakers,0
2018-02-14,Utah Jazz,Phoenix Suns,0
2018-02-14,Portland Trail Blazers,Golden State Warriors,0
2018-02-15,Milwaukee Bucks,Denver Nuggets,1
2018-02-15,Minnesota Timberwolves,Los Angeles Lakers,0
2018-02-22,Charlotte Hornets,Brooklyn Nets,0
2018-02-22,Orlando Magic,New York Knicks,1
2018-02-22,Chicago Bulls,Philadelphia 76ers,1
2018-02-22,Cleveland Cavaliers,Washington Wizards,1
2018-02-22,Sacramento Kings,Oklahoma City Thunder,1
2018-02-22,Golden State Warriors,Los Angeles Clippers,0
2018-02-23,Detroit Pistons,Boston Celtics,1
2018-02-23,Indiana Pacers,Atlanta Hawks,0
2018-02-23,Washington Wizards,Charlotte Hornets,1
2018-02-23,Toronto Raptors,Milwaukee Bucks,1
2018-02-23,Houston Rockets,Minnesota Timberwolves,0
2018-02-23,Memphis Grizzlies,Cleveland Cavaliers,1
2018-02-23,New Orleans Pelicans,Miami Heat,0
2018-02-23,Denver Nuggets,San Antonio Spurs,0
2018-02-23,Phoenix Suns,Los Angeles Clippers,1
2018-02-23,Utah Jazz,Portland Trail Blazers,1
2018-02-23,Los Angeles Lakers,Dallas Mavericks,0
2018-02-24,Philadelphia 76ers,Orlando Magic,0
2018-02-24,Miami Heat,Memphis Grizzlies,0
2018-02-24,New York Knicks,Boston Celtics,1
2018-02-24,Golden State Warriors,Oklahoma City Thunder,0
2018-02-24,Minnesota Timberwolves,Chicago Bulls,0
2018-02-24,Phoenix Suns,Portland Trail Blazers,1
2018-02-24,Utah Jazz,Dallas Mavericks,0
2018-02-24,Sacramento Kings,Los Angeles Lakers,1
2018-02-25,Charlotte Hornets,Detroit Pistons,0
2018-02-25,Milwaukee Bucks,New Orleans Pelicans,1
2018-02-25,Cleveland Cavaliers,San Antonio Spurs,1
2018-02-25,Denver Nuggets,Houston Rockets,1
2018-02-25,Washington Wizards,Philadelphia 76ers,0
2018-02-26,Atlanta Hawks,Los Angeles Lakers,1
2018-02-26,Boston Celtics,Memphis Grizzlies,0
2018-02-26,Brooklyn Nets,Chicago Bulls,0
2018-02-26,New York Knicks,Golden State Warriors,1
2018-02-26,Toronto Raptors,Detroit Pistons,0
2018-02-26,New Orleans Pelicans,Phoenix Suns,0
2018-02-26,Oklahoma City Thunder,Orlando Magic,0
2018-02-26,Dallas Mavericks,Indiana Pacers,0
2018-02-26,Utah Jazz,Houston Rockets,1
2018-02-26,Sacramento Kings,Minnesota Timberwolves,1
2018-02-27,Charlotte Hornets,Chicago Bulls,0
2018-02-27,Cleveland Cavaliers,Brooklyn Nets,0
2018-02-27,Miami Heat,Philadelphia 76ers,0
2018-02-27,Milwaukee Bucks,Washington Wizards,1
2018-02-27,Portland Trail Blazers,Sacramento Kings,0
2018-02-27,Denver Nuggets,Los Angeles Clippers,1
2018-02-28,Detroit Pistons,Milwaukee Bucks,0
2018-02-28,Orlando Magic,Toronto Raptors,1
2018-02-28,Atlanta Hawks,Indiana Pacers,0
2018-02-28,Boston Celtics,Charlotte Hornets,0
2018-02-28,Memphis Grizzlies,Phoenix Suns,1
2018-02-28,Washington Wizards,Golden State Warriors,1
2018-02-28,Dallas Mavericks,Oklahoma City Thunder,1
2018-02-28,San Antonio Spurs,New Orleans Pelicans,1
2018-02-28,Los Angeles Clippers,Houston Rockets,1
2018-03-01,Miami Heat,Los Angeles Lakers,1
2018-03-01,Cleveland Cavaliers,Philadelphia 76ers,1
2018-03-01,Sacramento Kings,Brooklyn Nets,0
2018-03-01,Portland Trail Blazers,Minnesota Timberwolves,0
2018-03-02,Orlando Magic,Detroit Pistons,0
2018-03-02,Philadelphia 76ers,Charlotte Hornets,0
2018-03-02,Atlanta Hawks,Golden State Warriors,1
2018-03-02,Chicago Bulls,Dallas Mavericks,0
2018-03-02,Memphis Grizzlies,Denver Nuggets,1
2018-03-02,Milwaukee Bucks,Indiana Pacers,1
2018-03-02,Washington Wizards,Toronto Raptors,1
2018-03-02,Phoenix Suns,Oklahoma City Thunder,1
2018-03-02,Los Angeles Clippers,New York Knicks,0
2018-03-02,Utah Jazz,Minnesota Timberwolves,0
2018-03-03,Orlando Magic,Memphis Grizzlies,0
2018-03-03,Cleveland Cavaliers,Denver Nuggets,1
2018-03-03,Miami Heat,Detroit Pistons,0
2018-03-03,Houston Rockets,Boston Celtics,0
2018-03-03,San Antonio Spurs,Los Angeles Lakers,1
2018-03-03,Portland Trail Blazers,Oklahoma City Thunder,0
2018-03-03,Sacramento Kings,Utah Jazz,1
2018-03-04,Atlanta Hawks,Phoenix Suns,0
2018-03-04,Toronto Raptors,Charlotte Hornets,0
2018-03-04,Washington Wizards,Indiana Pacers,1
2018-03-04,Dallas Mavericks,New Orleans Pelicans,1
2018-03-04,Milwaukee Bucks,Philadelphia 76ers,0
2018-03-04,Los Angeles Clippers,Brooklyn Nets,0
2018-03-04,Sacramento Kings,New York Knicks,0
2018-03-05,Cleveland Cavaliers,Detroit Pistons,0
2018-03-05,Indiana Pacers,Milwaukee Bucks,0
2018-03-05,Miami Heat,Phoenix Suns,0
2018-03-05,Chicago Bulls,Boston Celtics,1
2018-03-05,San Antonio Spurs,Memphis Grizzlies,0
2018-03-05,Utah Jazz,Orlando Magic,0
2018-03-05,Los Angeles Lakers,Portland Trail Blazers,1
2018-03-06,Charlotte Hornets,Philadelphia 76ers,1
2018-03-06,Toronto Raptors,Atlanta Hawks,0
2018-03-06,Washington Wizards,Miami Heat,0
2018-03-06,Oklahoma City Thunder,Houston Rockets,1
2018-03-06,Dallas Mavericks,Denver Nuggets,0
2018-03-06,Portland Trail Blazers,New York Knicks,0
2018-03-06,Golden State Warriors,Brooklyn Nets,0
2018-03-06,Los Angeles Clippers,New Orleans Pelicans,1
2018-03-07,Indiana Pacers,Utah Jazz,1
2018-03-07,Chicago Bulls,Memphis Grizzlies,0
2018-03-07,Detroit Pistons,Toronto Raptors,1
2018-03-07,Milwaukee Bucks,Houston Rockets,1
2018-03-07,Sacramento Kings,New Orleans Pelicans,1
2018-03-07,Denver Nuggets,Cleveland Cavaliers,1
2018-03-07,Los Angeles Lakers,Orlando Magic,0
2018-03-08,Charlotte Hornets,Brooklyn Nets,1
2018-03-08,Miami Heat,Philadelphia 76ers,0
2018-03-08,Minnesota Timberwolves,Boston Celtics,1
2018-03-08,Oklahoma City Thunder,Phoenix Suns,0
2018-03-08,Golden State Warriors,San Antonio Spurs,0
2018-03-09,Detroit Pistons,Chicago Bulls,0
2018-03-09,Indiana Pacers,Atlanta Hawks,0
2018-03-09,Toronto Raptors,Houston Rockets,0
2018-03-09,Memphis Grizzlies,Utah Jazz,1
2018-03-09,Milwaukee Bucks,New York Knicks,0
2018-03-09,New Orleans Pelicans,Washington Wizards,1
2018-03-09,Denver Nuggets,Los Angeles Lakers,0
2018-03-09,Portland Trail Blazers,Golden State Warriors,0
2018-03-09,Sacramento Kings,Orlando Magic,0
2018-03-09,Los Angeles Clippers,Cleveland Cavaliers,0
2018-03-10,Charlotte Hornets,Phoenix Suns,0
2018-03-10,Miami Heat,Washington Wizards,0
2018-03-10,Dallas Mavericks,Memphis Grizzlies,0
2018-03-10,Oklahoma City Thunder,San Antonio Spurs,0
2018-03-10,Los Angeles Clippers,Orlando Magic,0
2018-03-11,New York Knicks,Toronto Raptors,1
2018-03-11,Atlanta Hawks,Chicago Bulls,1
2018-03-11,Minnesota Timberwolves,Golden State Warriors,0
2018-03-11,New Orleans Pelicans,Utah Jazz,1
2018-03-11,Denver Nuggets,Sacramento Kings,0
2018-03-11,Dallas Mavericks,Houston Rockets,1
2018-03-11,Boston Celtics,Indiana Pacers,1
2018-03-11,Brooklyn Nets,Philadelphia 76ers,1
2018-03-11,Los Angeles Lakers,Cleveland Cavaliers,0
2018-03-12,Houston Rockets,San Antonio Spurs,0
2018-03-12,Memphis Grizzlies,Milwaukee Bucks,1
2018-03-12,Oklahoma City Thunder,Sacramento Kings,0
2018-03-12,Portland Trail Blazers,Miami Heat,0
2018-03-13,Philadelphia 76ers,Indiana Pacers,1
2018-03-13,Washington Wizards,Minnesota Timberwolves,1
2018-03-13,Atlanta Hawks,Oklahoma City Thunder,1
2018-03-13,Brooklyn Nets,Toronto Raptors,1
2018-03-13,New York Knicks,Dallas Mavericks,1
2018-03-13,Chicago Bulls,Los Angeles Clippers,1
2018-03-13,New Orleans Pelicans,Charlotte Hornets,0
2018-03-13,San Antonio Spurs,Orlando Magic,0
2018-03-13,Utah Jazz,Detroit Pistons,0
2018-03-13,Phoenix Suns,Cleveland Cavaliers,1
2018-03-13,Los Angeles Lakers,Denver Nuggets,0
2018-03-14,Orlando Magic,Milwaukee Bucks,0
2018-03-14,Boston Celtics,Washington Wizards,1
2018-03-14,Sacramento Kings,Miami Heat,0
2018-03-14,Golden State Warriors,Los Angeles Lakers,0
2018-03-15,Indiana Pacers,Toronto Raptors,1
2018-03-15,Atlanta Hawks,Charlotte Hornets,1
2018-03-15,New York Knicks,Philadelphia 76ers,1
2018-03-15,Houston Rockets,Los Angeles Clippers,0
2018-03-15,Memphis Grizzlies,Chicago Bulls,1
2018-03-15,San Antonio Spurs,New Orleans Pelicans,0
2018-03-15,Denver Nuggets,Detroit Pistons,0
2018-03-15,Utah Jazz,Phoenix Suns,0
2018-03-15,Portland Trail Blazers,Cleveland Cavaliers,0
2018-03-16,Orlando Magic,Boston Celtics,1
2018-03-16,Philadelphia 76ers,Brooklyn Nets,0
2018-03-16,Toronto Raptors,Dallas Mavericks,0
2018-03-16,Oklahoma City Thunder,Los Angeles Clippers,0
2018-03-16,Golden State Warriors,Sacramento Kings,1
2018-03-16,Los Angeles Lakers,Miami Heat,1
2018-03-17,Milwaukee Bucks,Atlanta Hawks,0
2018-03-17,New Orleans Pelicans,Houston Rockets,1
2018-03-17,Washington Wizards,Indiana Pacers,0
2018-03-17,Brooklyn Nets,Dallas Mavericks,0
2018-03-17,New York Knicks,Charlotte Hornets,0
2018-03-17,Chicago Bulls,Cleveland Cavaliers,1
2018-03-17,Memphis Grizzlies,Denver Nuggets,0
2018-03-17,San Antonio Spurs,Minnesota Timberwolves,0
2018-03-17,Utah Jazz,Sacramento Kings,0
2018-03-17,Phoenix Suns,Golden State Warriors,1
2018-03-17,Portland Trail Blazers,Detroit Pistons,0
2018-03-18,Toronto Raptors,Oklahoma City Thunder,1
2018-03-18,New Orleans Pelicans,Boston Celtics,0
2018-03-18,Minnesota Timberwolves,Houston Rockets,1
2018-03-18,Los Angeles Clippers,Portland Trail Blazers,1
2018-03-19,Cleveland Cavaliers,Milwaukee Bucks,0
2018-03-19,Indiana Pacers,Los Angeles Lakers,0
2018-03-19,Philadelphia 76ers,Charlotte Hornets,0
2018-03-19,Brooklyn Nets,Memphis Grizzlies,0
2018-03-19,Miami Heat,Denver Nuggets,0
2018-03-19,New York Knicks,Chicago Bulls,0
2018-03-19,San Antonio Spurs,Golden State Warriors,0
2018-03-19,Sacramento Kings,Detroit Pistons,1
2018-03-20,Orlando Magic,Toronto Raptors,1
2018-03-20,Boston Celtics,Oklahoma City Thunder,0
2018-03-20,Minnesota Timberwolves,Los Angeles Clippers,0
2018-03-20,New Orleans Pelicans,Dallas Mavericks,0
2018-03-20,Utah Jazz,Atlanta Hawks,1
2018-03-20,Phoenix Suns,Detroit Pistons,1
2018-03-20,Portland Trail Blazers,Houston Rockets,1
2018-03-21,Cleveland Cavaliers,Toronto Raptors,0
2018-03-21,Philadelphia 76ers,Memphis Grizzlies,0
2018-03-21,Brooklyn Nets,Charlotte Hornets,1
2018-03-21,Miami Heat,New York Knicks,0
2018-03-21,Chicago Bulls,Denver Nuggets,1
2018-03-21,Milwaukee Bucks,Los Angeles Clippers,1
2018-03-21,New Orleans Pelicans,Indiana Pacers,0
2018-03-21,San Antonio Spurs,Washington Wizards,0
2018-03-22,Charlotte Hornets,Memphis Grizzlies,0
2018-03-22,Orlando Magic,Philadelphia 76ers,1
2018-03-22,Houston Rockets,Detroit Pistons,0
2018-03-22,New Orleans Pelicans,Los Angeles Lakers,0
2018-03-22,Dallas Mavericks,Utah Jazz,1
2018-03-22,Sacramento Kings,Atlanta Hawks,0
2018-03-23,Indiana Pacers,Los Angeles Clippers,0
2018-03-23,Washington Wizards,Denver Nuggets,1
2018-03-23,Cleveland Cavaliers,Phoenix Suns,0
2018-03-23,New York Knicks,Minnesota Timberwolves,1
2018-03-23,Toronto Raptors,Brooklyn Nets,0
2018-03-23,Chicago Bulls,Milwaukee Bucks,1
2018-03-23,Oklahoma City Thunder,Miami Heat,0
2018-03-23,San Antonio Spurs,Utah Jazz,0
2018-03-23,Portland Trail Blazers,Boston Celtics,1
2018-03-23,Golden State Warriors,Atlanta Hawks,0
2018-03-24,Philadelphia 76ers,Minnesota Timberwolves,0
2018-03-24,Detroit Pistons,Chicago Bulls,0
2018-03-24,Orlando Magic,Phoenix Suns,0
2018-03-24,Houston Rockets,New Orleans Pelicans,0
2018-03-24,Memphis Grizzlies,Los Angeles Lakers,1
2018-03-24,Dallas Mavericks,Charlotte Hornets,1
2018-03-25,Brooklyn Nets,Cleveland Cavaliers,1
2018-03-25,Milwaukee Bucks,San Antonio Spurs,0
2018-03-25,Indiana Pacers,Miami Heat,0
2018-03-25,Sacramento Kings,Boston Celtics,1
2018-03-25,Toronto Raptors,Los Angeles Clippers,1
2018-03-25,Washington Wizards,New York Knicks,1
2018-03-25,Oklahoma City Thunder,Portland Trail Blazers,1
2018-03-25,Houston Rockets,Atlanta Hawks,0
2018-03-25,Golden State Warriors,Utah Jazz,1
2018-03-26,Charlotte Hornets,New York Knicks,0
2018-03-26,Detroit Pistons,Los Angeles Lakers,0
2018-03-26,Philadelphia 76ers,Denver Nuggets,0
2018-03-26,Minnesota Timberwolves,Memphis Grizzlies,1
2018-03-26,Phoenix Suns,Boston Celtics,1
2018-03-27,Washington Wizards,San Antonio Spurs,0
2018-03-27,Toronto Raptors,Denver Nuggets,0
2018-03-27,Houston Rockets,Chicago Bulls,0
2018-03-27,Miami Heat,Cleveland Cavaliers,0
2018-03-27,New Orleans Pelicans,Portland Trail Blazers,1
2018-03-27,Sacramento Kings,Dallas Mavericks,1
2018-03-27,Golden State Warriors,Indiana Pacers,1
2018-03-27,Los Angeles Clippers,Milwaukee Bucks,0
2018-03-28,Charlotte Hornets,Cleveland Cavaliers,1
2018-03-28,Orlando Magic,Brooklyn Nets,1
2018-03-28,Philadelphia 76ers,New York Knicks,0
2018-03-28,Memphis Grizzlies,Portland Trail Blazers,0
2018-03-28,Minnesota Timberwolves,Atlanta Hawks,0
2018-03-28,Utah Jazz,Boston Celtics,1
2018-03-28,Phoenix Suns,Los Angeles Clippers,1
2018-03-28,Los Angeles Lakers,Dallas Mavericks,0
2018-03-29,Detroit Pistons,Washington Wizards,0
2018-03-29,Miami Heat,Chicago Bulls,0
2018-03-29,San Antonio Spurs,Oklahoma City Thunder,0
2018-03-29,Sacramento Kings,Indiana Pacers,1
2018-03-29,Golden State Warriors,Milwaukee Bucks,1
2018-03-30,Orlando Magic,Chicago Bulls,1
2018-03-30,Atlanta Hawks,Philadelphia 76ers,1
2018-03-30,Cleveland Cavaliers,New Orleans Pelicans,0
2018-03-30,Houston Rockets,Phoenix Suns,0
2018-03-30,Oklahoma City Thunder,Denver Nuggets,1
2018-03-30,Dallas Mavericks,Minnesota Timberwolves,1
2018-03-30,Utah Jazz,Memphis Grizzlies,0
2018-03-30,Los Angeles Lakers,Milwaukee Bucks,1
2018-03-30,Portland Trail Blazers,Los Angeles Clippers,0
2018-03-31,Washington Wizards,Charlotte Hornets,0
2018-03-31,New York Knicks,Detroit Pistons,1
2018-03-31,Boston Celtics,Toronto Raptors,0
2018-03-31,Miami Heat,Brooklyn Nets,1
2018-03-31,Sacramento Kings,Golden State Warriors,1
2018-04-01,Charlotte Hornets,Philadelphia 76ers,1
2018-04-01,Chicago Bulls,Washington Wizards,0
2018-04-01,Los Angeles Clippers,Indiana Pacers,1
2018-04-01,San Antonio Spurs,Houston Rockets,0
2018-04-01,Atlanta Hawks,Orlando Magic,0
2018-04-01,Brooklyn Nets,Detroit Pistons,1
2018-04-01,Cleveland Cavaliers,Dallas Mavericks,0
2018-04-01,New Orleans Pelicans,Oklahoma City Thunder,1
2018-04-01,Minnesota Timberwolves,Utah Jazz,1
2018-04-01,Denver Nuggets,Milwaukee Bucks,0
2018-04-01,Golden State Warriors,Phoenix Suns,0
2018-04-01,Portland Trail Blazers,Memphis Grizzlies,0
2018-04-01,Los Angeles Lakers,Sacramento Kings,1
2018-04-03,Cleveland Cavaliers,Toronto Raptors,0
2018-04-03,Philadelphia 76ers,Brooklyn Nets,0
2018-04-03,Miami Heat,Atlanta Hawks,0
2018-04-03,New York Knicks,Orlando Magic,1
2018-04-03,Chicago Bulls,Charlotte Hornets,0
2018-04-03,Houston Rockets,Washington Wizards,0
2018-04-03,Milwaukee Bucks,Boston Celtics,0
2018-04-03,Oklahoma City Thunder,Golden State Warriors,1
2018-04-03,Dallas Mavericks,Portland Trail Blazers,0
2018-04-03,Denver Nuggets,Indiana Pacers,0
2018-04-03,Utah Jazz,Los Angeles Lakers,0
2018-04-03,Phoenix Suns,Sacramento Kings,0
2018-04-03,Los Angeles Clippers,San Antonio Spurs,0
2018-04-04,Detroit Pistons,Philadelphia 76ers,1
2018-04-04,Orlando Magic,Dallas Mavericks,0
2018-04-04,Atlanta Hawks,Miami Heat,1
2018-04-04,New Orleans Pelicans,Memphis Grizzlies,0
2018-04-04,Toronto Raptors,Boston Celtics,0
2018-04-04,Los Angeles Lakers,San Antonio Spurs,0
2018-04-05,Indiana Pacers,Golden State Warriors,0
2018-04-05,Cleveland Cavaliers,Washington Wizards,0
2018-04-05,Houston Rockets,Portland Trail Blazers,0
2018-04-05,Milwaukee Bucks,Brooklyn Nets,1
2018-04-05,Utah Jazz,Los Angeles Clippers,0
2018-04-05,Denver Nuggets,Minnesota Timberwolves,0
2018-04-06,Detroit Pistons,Dallas Mavericks,0
2018-04-06,Orlando Magic,Charlotte Hornets,1
2018-04-06,Philadelphia 76ers,Cleveland Cavaliers,0
2018-04-06,Washington Wizards,Atlanta Hawks,1
2018-04-06,Boston Celtics,Chicago Bulls,0
2018-04-06,New York Knicks,Miami Heat,0
2018-04-06,Toronto Raptors,Indiana Pacers,0
2018-04-06,Memphis Grizzlies,Sacramento Kings,1
2018-04-06,Phoenix Suns,New Orleans Pelicans,1
2018-04-06,Los Angeles Lakers,Minnesota Timberwolves,1
2018-04-07,Los Angeles Clippers,Denver Nuggets,1
2018-04-07,New York Knicks,Milwaukee Bucks,1
2018-04-07,Chicago Bulls,Brooklyn Nets,1
2018-04-07,Golden State Warriors,New Orleans Pelicans,1
2018-04-07,Houston Rockets,Oklahoma City Thunder,1
2018-04-07,San Antonio Spurs,Portland Trail Blazers,0
2018-04-08,Boston Celtics,Atlanta Hawks,1
2018-04-08,Charlotte Hornets,Indiana Pacers,1
2018-04-08,Philadelphia 76ers,Dallas Mavericks,0
2018-04-08,Memphis Grizzlies,Detroit Pistons,0
2018-04-08,Los Angeles Lakers,Utah Jazz,1
2018-04-08,Toronto Raptors,Orlando Magic,0
2018-04-08,Phoenix Suns,Golden State Warriors,1
2018-04-09,Detroit Pistons,Toronto Raptors,1
2018-04-09,Brooklyn Nets,Chicago Bulls,0
2018-04-09,Miami Heat,Oklahoma City Thunder,1
2018-04-09,New York Knicks,Cleveland Cavaliers,1
2018-04-09,Milwaukee Bucks,Orlando Magic,0
2018-04-09,Minnesota Timberwolves,Memphis Grizzlies,0
2018-04-09,San Antonio Spurs,Sacramento Kings,0
2018-04-09,Denver Nuggets,Portland Trail Blazers,0
2018-04-09,Los Angeles Clippers,New Orleans Pelicans,1
2018-04-10,Indiana Pacers,Charlotte Hornets,1
2018-04-10,Atlanta Hawks,Philadelphia 76ers,1
2018-04-10,Washington Wizards,Boston Celtics,0
2018-04-10,Dallas Mavericks,Phoenix Suns,1
2018-04-10,Utah Jazz,Golden State Warriors,0
2018-04-10,Los Angeles Lakers,Houston Rockets,1
2018-04-11,Boston Celtics,Brooklyn Nets,0
2018-04-11,Chicago Bulls,Detroit Pistons,1
2018-04-11,Cleveland Cavaliers,New York Knicks,1
2018-04-11,Miami Heat,Toronto Raptors,0
2018-04-11,Minnesota Timberwolves,Denver Nuggets,0
2018-04-11,New Orleans Pelicans,San Antonio Spurs,0
2018-04-11,Oklahoma City Thunder,Memphis Grizzlies,0
2018-04-11,Orlando Magic,Washington Wizards,0
2018-04-11,Philadelphia 76ers,Milwaukee Bucks,0
2018-04-11,Los Angeles Clippers,Los Angeles Lakers,1
2018-04-11,Portland Trail Blazers,Utah Jazz,0
2018-04-11,Sacramento Kings,Houston Rockets,0
2018-10-16,Boston Celtics,Philadelphia 76ers,0
2018-10-16,Golden State Warriors,Oklahoma City Thunder,0
2018-10-17,Charlotte Hornets,Milwaukee Bucks,1
2018-10-17,Detroit Pistons,Brooklyn Nets,0
2018-10-17,Indiana Pacers,Memphis Grizzlies,0
2018-10-17,Orlando Magic,Miami Heat,0
2018-10-17,New York Knicks,Atlanta Hawks,0
2018-10-17,Toronto Raptors,Cleveland Cavaliers,0
2018-10-17,Houston Rockets,New Orleans Pelicans,1
2018-10-17,San Antonio Spurs,Minnesota Timberwolves,0
2018-10-17,Sacramento Kings,Utah Jazz,1
2018-10-17,Los Angeles Clippers,Denver Nuggets,1
2018-10-17,Phoenix Suns,Dallas Mavericks,0
2018-10-18,Philadelphia 76ers,Chicago Bulls,0
2018-10-18,Washington Wizards,Miami Heat,1
2018-10-18,Portland Trail Blazers,Los Angeles Lakers,0
2018-10-19,Orlando Magic,Charlotte Hornets,1
2018-10-19,Brooklyn Nets,New York Knicks,0
2018-10-19,Memphis Grizzlies,Atlanta Hawks,0
2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,0
2018-10-19,New Orleans Pelicans,Sacramento Kings,0
2018-10-19,Toronto Raptors,Boston Celtics,0
2018-10-19,Milwaukee Bucks,Indiana Pacers,0
2018-10-19,Los Angeles Clippers,Oklahoma City Thunder,0
2018-10-19,Utah Jazz,Golden State Warriors,1
2018-10-20,Indiana Pacers,Brooklyn Nets,0
2018-10-20,Washington Wizards,Toronto Raptors,1
2018-10-20,New York Knicks,Boston Celtics,1
2018-10-20,Philadelphia 76ers,Orlando Magic,0
2018-10-20,Chicago Bulls,Detroit Pistons,1
2018-10-20,Miami Heat,Charlotte Hornets,1
2018-10-20,Dallas Mavericks,Minnesota Timberwolves,0
2018-10-20,Denver Nuggets,Phoenix Suns,0
2018-10-20,Portland Trail Blazers,San Antonio Spurs,0
2018-10-20,Los Angeles Lakers,Houston Rockets,1
2018-10-21,Cleveland Cavaliers,Atlanta Hawks,1
2018-10-21,Oklahoma City Thunder,Sacramento Kings,1
2018-10-21,Denver Nuggets,Golden State Warriors,0
2018-10-21,Los Angeles Clippers,Houston Rockets,0
2018-10-22,Boston Celtics,Orlando Magic,1
2018-10-22,Toronto Raptors,Charlotte Hornets,0
2018-10-22,Milwaukee Bucks,New York Knicks,0
2018-10-22,Minnesota Timberwolves,Indiana Pacers,0
2018-10-22,Dallas Mavericks,Chicago Bulls,0
2018-10-22,Utah Jazz,Memphis Grizzlies,1
2018-10-22,Portland Trail Blazers,Washington Wizards,1
2018-10-22,Golden State Warriors,Phoenix Suns,0
2018-10-22,Los Angeles Lakers,San Antonio Spurs,1
2018-10-23,Detroit Pistons,Philadelphia 76ers,0
